1	182	24
182	40	33
40	66	20
66	97	44
97	7	57
7	20	63
20	18	19
18	15	45
15	76	53
76	70	16
70	62	28
62	83	7
83	64	62
64	44	17
44	56	38
56	110	63
110	36	38
36	98	90
98	88	43
88	3	11
3	100	19
100	9	16
9	24	25
24	55	31
55	37	51
37	116	50
116	31	52
31	127	88
127	160	23
160	75	33
75	43	30
43	79	7
79	105	26
105	34	62
34	164	95
164	59	68
59	42	26
42	93	92
93	6	30
6	117	70
117	131	25
131	145	93
145	81	61
81	63	91
63	38	93
38	52	13
52	112	27
112	159	53
159	61	60
61	126	57
126	106	106
106	39	92
39	156	57
156	68	110
68	2	53
2	165	187
165	176	292
176	47	542
47	78	19
78	181	12
181	89	47
89	138	74
138	183	16
183	132	49
132	162	38
162	139	9
139	94	33
94	115	57
115	120	17
120	23	34
23	26	39
26	12	99
12	103	15
103	58	90
58	125	41
125	114	35
114	147	27
147	153	44
153	104	43
104	27	43
27	46	45
46	143	10
143	84	10
84	102	21
102	29	37
29	90	40
90	108	89
108	74	49
74	133	21
133	171	59
171	87	18
87	28	26
28	4	32
4	174	1
174	124	24
124	175	21
175	69	57
69	14	21
14	5	33
5	111	17
111	166	22
166	67	15
67	154	27
154	11	32
11	122	38
122	60	33
60	91	20
91	16	19
16	158	3
158	107	39
107	184	49
184	135	51
135	123	43
123	10	48
10	151	26
151	77	57
77	13	14
13	149	12
149	65	33
65	25	35
25	82	36
82	41	31
41	54	52
54	101	26
101	48	23
48	50	35
50	35	13
35	86	50
86	136	26
136	178	35
178	30	30
30	32	6
32	140	2
140	167	11
167	152	69
152	137	25
137	85	59
85	21	27
21	161	12
161	121	43
121	96	77
96	157	38
157	19	46
19	146	50
146	73	28
73	92	46
92	142	93
142	169	14
169	180	26
180	17	45
17	177	68
177	119	28
119	95	24
95	57	23
57	141	34
141	22	32
22	51	79
51	128	59
128	148	64
148	80	52
80	71	42
71	168	13
168	113	38
113	49	28
49	99	23
99	150	24
150	129	56
129	163	43
163	130	46
130	53	58
53	134	92
134	33	86
33	118	53
118	72	131
72	172	97
172	173	15
173	8	83
8	144	91
144	45	12
45	170	40
170	109	117
109	179	130
179	155	83
155	1	540
